review_text,rating,summary_text,text_length,clean_review,clean_length
No issues.,4.0,Four Stars,2,issues,1
"Purchased this for my device, it worked as advertised. You can never have too much phone memory, since I download a lot of stuff this was a no brainer for me.",5.0,MOAR SPACE!!!,31,purchased device worked advertised never much phone memory since download lot stuff brainer,13
it works as expected. I should have sprung for the higher capacity.  I think its made a bit cheesier than the earlier versions; the paint looks not as clean as before,4.0,nothing to really say....,31,works expected sprung higher capacity think made bit cheesier earlier versions paint looks clean,14
"This think has worked out great.Had a diff. bran 64gb card and if went south after 3 months.This one has held up pretty well since I had my S3, now on my Note3.*** update 3/21/14I've had this for a few months and have had ZERO issue's since it was transferred from my S3 to my Note3 and into a note2. This card is reliable and solid!Cheers!",5.0,Great buy at this price!!!  *** UPDATE,66,think worked greathad diff bran gb card went south monthsthis one held pretty well since note update ive months zero issues since transferred note note card reliable solidcheers,28
"Bought it with Retail Packaging, arrived legit, in a orange envelope, english version not asian like the picture shows. arrived quickly, bought a 32 and 16 both retail packaging for my htc one sv and Lg Optimus, both cards in working order, probably best price you'll get for a nice sd card",5.0,best deal around,52,bought retail packaging arrived legit orange envelope english version asian like picture shows arrived quickly bought retail packaging htc one sv lg optimus cards working order probably best price youll get nice sd card,34
It's mini storage.  It doesn't do anything else and it's not supposed to.  I purchased it to add additional storage to my Microsoft Surface Pro tablet which only come in 64 and 128 GB.  It does what it's supposed to and SanDisk has a long standing reputation that speaks for itself.,5.0,Not a lot to really be said,51,mini storage doesnt anything else supposed purchased add additional storage microsoft surface pro tablet come gb supposed sandisk long standing reputation speaks,22
I have it in my phone and it never skips a beat. File transfers are speedy and have not had any corruption issues or memory fade issues as I would expect from the Sandisk brand. Great card to own. Why entrust your precious files to a slightly cheaper piece of crap? If you lose everything can you forgive yourself for not spending the extra couple bucks on a trusted product that goes through good QA?,5.0,Works well,75,phone never skips beat file transfers speedy corruption issues memory fade issues would expect sandisk brand great card entrust precious files slightly cheaper piece crap lose everything forgive spending extra couple bucks trusted product goes good qa,37
It's hard to believe how affordable digital has become. 32 GB in a device one quarter the sie of postage stamp would have been science fiction less than a generation ago.I picked this up for portable music when I didn't want to schlep (or risk) a phone or iPod. Works great with all SD card readers.Select with confidence.,5.0,32 GB for less than two sawbucks...what's not to like?,58,hard believe affordable digital become gb device one quarter sie postage stamp would science fiction less generation agoi picked portable music didnt want schlep risk phone ipod works great sd card readersselect confidence,33
"Works in a HTC Rezound.  Was running short of space on a 64GB Sandisk so I ordered this when it came out, fast and no issues.",5.0,Loads of room,26,works htc rezound running short space gb sandisk ordered came fast issues,12
"in my galaxy s4, super fast card, and am totally happy, not happy having to still type to fill the required words though",5.0,works great,23,galaxy super fast card totally happy happy still type fill required words though,13
"I like this SD Card because it can take music video downloads, personal videos, files,docs, and multimedia images with a fast transfer rate of Class 10 speed. It can take games with large files very easily and still have enough space for apps. It&#34;s great for video cameras and camcorders with the supplied adapter. Fits very easily into smartphones and tablets SD Card slots. I recommend this 32GB SD Card to everyone.",5.0,32GB MicroSD Card.,72,like sd card take music video downloads personal videos filesdocs multimedia images fast transfer rate class speed take games large files easily still enough space apps great video cameras camcorders supplied adapter fits easily smartphones tablets sd card slots recommend gb sd card everyone,44
"It works, but file writes are a bit slower than expected on a USB3 reader.Also, both reads and writes are FASTER with the card inside the standard-size SD adapter (15 MB/s vs 10 write; 45 MB/s vs 22 MB/s read) on the same card reader.  Can't figure why...",3.0,"It works, but not as fast as expected",48,works file writes bit slower expected usb readeralso reads writes faster card inside standardsize sd adapter mbs vs write mbs vs mbs read card reader cant figure,27
